No.,REGISTRATION YEAR,REGISTRATION MONTH,MANUFACTURE YEAR,MAKER,CAR NAME,Grade,CHASSIS NO,PREFIX,SHIFT,COLOR,DOOR,WD,OPTIONS,REMARKS,FUEL TYPE,Engine Size,Engine Size Unit,KM,Odometer (Denom.),,PRICE
2088,2005,12,2005,TOYOTA,ALPHARD HYBRID,HYBRID G EDITION,ATH10-0014544,CAA-ATH10W,AT,GREEN(L),5,4WD,"PS,PW,AC,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),2360,cc,85000,KM,,
2089,2006,2,2006,TOYOTA,ALPHARD HYBRID,G EDITION,ATH10-0016471,CAA-ATH10W,AT,BLACK,5,4WD,"PS,PW,AC,NV,FOG,ABS,AB,RS","HID HEAD LIGHT,BACK CAMERA,BOTH SIDE POWER SLIDE DOOR",HYBRID(PETROL),2360,cc,225000,KM,,
2090,2007,3,2007,TOYOTA,ALPHARD HYBRID,G Edition 4WD,ATH10-0020868,DAA-ATH10W,AT,PEARL,5,4WD,"PS,PW,AC,AW,SR,ABS,AB,RS",,HYBRID(PETROL),2360,cc,160000,KM,,
2091,2012,4,2012,TOYOTA,ALPHARD HYBRID,,ATH20-8011026,DAA-ATH20W,AT,PEARL,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,SR,ABS,AB,RS",,HYBRID(PETROL),2360,cc,187000,KM,,
2092,2012,5,2012,TOYOTA,ALPHARD HYBRID,X,ATH20-8011947,DAA-ATH20W,AT,BLACK,5,4WD,"PS,PW,AC,ABS",,HYBRID(PETROL),2360,cc,228000,KM,,
2093,2012,7,2012,TOYOTA,ALPHARD HYBRID,G,ATH20-8017478,DAA-ATH20W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BOTH SIDE POWER SLIDE DOOR, CRUISE CONTROL, POWER BACK DOOR, BACK CAMERA , POWER SEAT, PUSH START",HYBRID(PETROL),2360,cc,188000,KM,,
2094,2013,9,2013,TOYOTA,ALPHARD HYBRID,X,ATH20-8034561,DAA-ATH20W,AT,SILVER,5,4WD,"PS,PW,AC,AW,FOG,ABS,AB,RS","PUSH START, BOTH SIDE POWER SLIDE DOOR",HYBRID(PETROL),2360,cc,168000,KM,,
2095,2013,9,2013,TOYOTA,ALPHARD HYBRID,G,ATH20-8034818,DAA-ATH20W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,ABS,AB",,HYBRID(PETROL),2360,cc,98000,KM,,
2096,2013,10,2013,TOYOTA,ALPHARD HYBRID,,ATH20-8035237,DAA-ATH20W,AT,SILVER,5,4WD,"PS,PW,AC,NV,AW,FOG,SR,ABS,AB,RS","BOTH SIDE POWER SLIDE DOOR,BACK CAMERA,DOUBLE SUN ROOF,FRONT POWER SEAT",HYBRID(PETROL),2360,cc,127000,KM,,
2097,2014,9,2014,TOYOTA,ALPHARD HYBRID,X 4WD ﾘｮｳｶﾞﾜｽﾗｲ,ATH20-8044498,DAA-ATH20W,AT,PEARL,5,4WD,"PS,PW,AC,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),2360,cc,128000,KM,,
2098,2015,1,2014,TOYOTA,ALPHARD HYBRID,G,ATH20-8047272,DAA-ATH20W,AT,WHITE,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BOTH SIDE POWER SLIDE DOOR, HID, POWER SEAT",HYBRID(PETROL),2360,cc,77000,KM,,
2099,2012,9,2012,TOYOTA,AQUA,S,NHP10-2103944,DAA-NHP10,AT,GRAY,5,2WD,"PS,PW,AC,ABS,AB,RS",,HYBRID(PETROL),1490,cc,204000,KM,,
2100,2014,5,2014,TOYOTA,AQUA,G,NHP10-6298766,DAA-NHP10,AT,PEARL,5,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",BACK CAMERA,HYBRID(PETROL),1490,cc,191000,KM,,
2101,2015,2,2014,TOYOTA,AQUA,L,NHP10-6357937,DAA-NHP10,AT,SILVER,5,2WD,"PS,PW,AC,FOG,ABS,AB,RS",,HYBRID(PETROL),1490,cc,321000,KM,,
2102,2015,3,2015,TOYOTA,AQUA,,NHP10-6390102,DAA-NHP10,AT,BLUE,5,2WD,"PS,PW,AC,NV,ABS,AB,RS","BACK CAMERA,PUSH START",HYBRID(PETROL),1490,cc,68000,KM,,
2103,2015,4,2015,TOYOTA,AQUA,L,NHP10-6400277,DAA-NHP10,AT,SILVER,5,2WD,"PS,PW,AC,ABS,AB,RS",,HYBRID(PETROL),1490,cc,240000,KM,,
2104,2015,8,2015,TOYOTA,AQUA,S,NHP10-6447666,DAA-NHP10,AT,PEARL,5,2WD,"PS,PW,AC,NV,ABS,AB,RS",,HYBRID(PETROL),1490,cc,162000,KM,,
2105,2015,8,2015,TOYOTA,AQUA,L,NHP10-6445855,DAA-NHP10,AT,WHITE,5,2WD,"PS,PW,AC,ABS,AB",,HYBRID(PETROL),1490,cc,126000,KM,,
2106,2015,8,2015,TOYOTA,AQUA,L,NHP10-6438658,DAA-NHP10,AT,WHITE,5,2WD,"PS,PW,AC,ABS,AB",,HYBRID(PETROL),1490,cc,221000,KM,,
2107,2015,9,2015,TOYOTA,AQUA,L,NHP10-6453613,DAA-NHP10,AT,WHITE,5,2WD,"PS,PW,AC,ABS,AB,RS",,HYBRID(PETROL),1490,cc,316000,KM,,
2108,2015,9,2015,TOYOTA,AQUA,S,NHP10-2472586,DAA-NHP10,AT,PURPLE(D),5,2WD,"PS,PW,AC,AW,ABS,AB,RS",,HYBRID(PETROL),1490,cc,84000,KM,,
2109,2015,9,2015,TOYOTA,AQUA,S,NHP10-6453396,DAA-NHP10,AT,WHITE,5,2WD,"PS,PW,AC,NV,ABS,AB",BACK CAMERA,HYBRID(PETROL),1490,cc,130000,KM,,
2110,2015,9,2015,TOYOTA,AQUA,L,NHP10-6434301,DAA-NHP10,AT,WHITE,5,2WD,"PS,PW,AC,ABS,AB,RS",,HYBRID(PETROL),1490,cc,331000,KM,,
2111,2015,10,2015,TOYOTA,AQUA,,NHP10-2482745,DAA-NHP10,AT,GREEN(L),5,2WD,"PS,PW,AC,AB,RS",,HYBRID(PETROL),1490,cc,129000,KM,,
2112,2015,10,2015,TOYOTA,AQUA,S,NHP10-6468417,DAA-NHP10,AT,BLACK,5,2WD,"PS,PW,AC,AW,ABS,AB",,HYBRID(PETROL),1490,cc,235000,KM,,
2113,2015,11,2015,TOYOTA,AQUA,G,NHP10-2494964,DAA-NHP10,AT,PEARL,5,2WD,"PS,PW,AC,NV,AW,ABS,AB,RS",,HYBRID(PETROL),1490,cc,146000,KM,,
2114,2016,3,2016,TOYOTA,AQUA,S,NHP10-6495503,DAA-NHP10,AT,BLUE,5,2WD,"PS,PW,AC,ABS,AB,RS",,HYBRID(PETROL),1490,cc,150000,KM,,
2115,2016,10,2016,TOYOTA,AQUA,S,NHP10-6543519,DAA-NHP10,AT,BLACK,5,2WD,"PS,PW,AC,FOG,ABS,AB,RS",TOYOTA SAFETY SENSE,HYBRID(PETROL),1490,cc,168000,KM,,
2116,2018,1,2017,TOYOTA,AQUA,S,NHP10-6678313,DAA-NHP10,AT,SILVER,5,2WD,"PS,PW,AC,ABS,AB,RS",,HYBRID(PETROL),1490,cc,180000,KM,,
2117,2019,6,2019,TOYOTA,AQUA,L,NHP10-2627112,DAA-NHP10,AT,SILVER,5,2WD,"PS,PW,AC,ABS,AB,RS",,HYBRID(PETROL),1490,cc,161000,KM,,
2118,2011,9,2011,TOYOTA,CAMRY,HYBRID G PKG,AVV50-1000234,DAA-AVV50,AT,BLACK,4,2WD,"PS,PW,AC,ABS,AB",BACK CAMERA,HYBRID(PETROL),2490,cc,117000,KM,,
2119,2011,9,2011,TOYOTA,CAMRY,,AVV50-1000891,DAA-AVV50,AT,WHITE,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","PUSH START,DRIVER'S POWER SEAT",HYBRID(PETROL),2490,cc,246000,KM,,
2120,2011,9,2011,TOYOTA,CAMRY,Hybrid G Package,AVV50-1000533,DAA-AVV50,AT,BLACK,4,2WD,"PW,AC,AW,ABS,AB",,HYBRID(PETROL),2490,cc,123000,KM,,
2121,2011,11,2011,TOYOTA,CAMRY,HYBRID G PKG,AVV50-1003760,DAA-AVV50,AT,BLACK,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","AERO,BACK CAMERA,HID HEAD LIGHT,PUSH START",HYBRID(PETROL),2490,cc,109000,KM,,
2122,2012,1,2012,TOYOTA,CAMRY,G PKG,AVV50-1007424,DAA-AVV50,AT,SILVER,4,2WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,175000,KM,,
2123,2012,3,2012,TOYOTA,CAMRY,HYBRID G PKG,AVV50-1010235,DAA-AVV50,AT,SILVER,4,2WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,198000,KM,,
2124,2012,3,2012,TOYOTA,CAMRY,,AVV50-1011054,DAA-AVV50,AT,SILVER,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",BACK MONITOR,HYBRID(PETROL),2490,cc,109000,KM,,
2125,2012,3,2012,TOYOTA,CAMRY,HYBRID G PKG,AVV50-1013022,DAA-AVV50,AT,GREEN,4,2WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,258000,KM,,
2126,2012,8,2012,TOYOTA,CAMRY,HYBRID G PKG,AVV50-1020360,DAA-AVV50,AT,BLACK,4,2WD,"PS,PW,AC,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,126000,KM,,
2127,2013,8,2013,TOYOTA,CAMRY,,AVV50-1031762,DAA-AVV50,AT,SILVER,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",BACK GUIDE MONITOR,HYBRID(PETROL),2490,cc,253000,KM,,
2128,2013,8,2013,TOYOTA,CAMRY,HV LEATHER PKG,AVV50-1032418,DAA-AVV50改,AT,GRAY,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",BACK CAMERA,HYBRID(PETROL),2490,cc,269000,KM,,
2129,2013,9,2013,TOYOTA,CAMRY,HYBRID G PKG,AVV50-1032969,DAA-AVV50,AT,BLACK,4,2WD,"PS,PW,AC,NV,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,151000,KM,,
2130,2013,12,2013,TOYOTA,CAMRY,HYBRID G PKG,AVV50-1035971,DAA-AVV50,AT,PEARL,4,2WD,"PS,PW,AC,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,87000,KM,,
2131,2014,1,2013,TOYOTA,CAMRY,,AVV50-1036627,DAA-AVV50,AT,PEARL,4,2WD,"PS,PW,AC,NV,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,83000,KM,,
2132,2014,5,2014,TOYOTA,CAMRY,HYBRID G PKG,AVV50-1040244,DAA-AVV50,AT,PEARL,4,2WD,"PS,PW,AC,AW,FOG,ABS,AB","CRUISE CONTROL,PUSH START",HYBRID(PETROL),2490,cc,67000,KM,,
2133,2015,2,2015,TOYOTA,CAMRY,HYBRID G PKG,AVV50-1047078,DAA-AVV50,AT,BLACK,4,2WD,"PS,PW,AC,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,117000,KM,,
2134,2017,12,2017,TOYOTA,CAMRY,G,AXVH70-1018111,DAA-AXVH70,AT,SILVER,4,2WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2480,cc,168000,KM,,
2135,2019,9,2019,TOYOTA,CAMRY,G,AXVH70-1055159,DAA-AXVH70,AT,SILVER,4,2WD,"PS,PW,AC,NV,AW,ABS,AB","BACK CAMERA, PUSH START,",HYBRID(PETROL),2480,cc,157000,KM,,
2136,1997,10,,TOYOTA,CHASER,TOURER V,JZX100-0079597,E-JZX100,MT,GREEN(D),4,2WD,"PS,PW,AC,AW,SR,AB",HID,PETROL,2490,cc,176000,KM,,
2137,2017,7,2017,TOYOTA,C-HR,G,ZYX10-2075476,DAA-ZYX10,AT,RED,5,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","BACK CAMERA, CRUISE CONTROL, SEAT HEATER",HYBRID(PETROL),1790,cc,102000,KM,,
2138,2017,9,2017,TOYOTA,C-HR,,ZYX10-2085990,DAA-ZYX10,AT,PEARL,5,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),1790,cc,119000,KM,,
2139,2018,1,2018,TOYOTA,C-HR,,ZYX10-2106759,DAA-ZYX10,AT,SILVER,5,2WD,"PS,PW,AC,AW,ABS,AB,RS",,HYBRID(PETROL),1790,cc,85000,KM,,
2140,2018,7,2018,TOYOTA,C-HR,,ZYX10-2137857,DAA-ZYX10,AT,RED,5,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BACK CAMERA, HALF LEATHER SEAT,LED LIGHT",HYBRID(PETROL),1790,cc,89000,KM,,
2141,2014,12,2014,TOYOTA,COROLLA FIELDER,HYBRIDG,NKE165-7092405,DAA-NKE165G,AT,PEARL,5,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),1490,cc,150000,KM,,
2142,2015,1,2015,TOYOTA,COROLLA FIELDER,HYBRID G AERO TOURER WXB,NKE165-7096049,DAA-NKE165G,AT,BLACK,5,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BACK CAMERA, PUSH START, HALF LEATHER SEAT",HYBRID(PETROL),1490,cc,207000,KM,,
2143,2015,4,2015,TOYOTA,COROLLA FIELDER,1.5X,NZE161-7120348,DBA-NZE161G,AT,SILVER,5,2WD,"PS,PW,AC,ABS,AB,RS",,PETROL,1490,cc,188000,KM,,
2144,2015,8,2015,TOYOTA,COROLLA FIELDER,HYBRID,NKE165-8002361,DAA-NKE165G,AT,SILVER,5,2WD,"PS,PW,AC,ABS,AB,RS",,HYBRID(PETROL),1490,cc,162000,KM,,
2145,2015,9,2015,TOYOTA,COROLLA FIELDER,,NKE165-8009375,DAA-NKE165G,AT,PURPLE(D),5,2WD,"PS,PW,AC,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),1490,cc,152000,KM,,
2146,2016,3,2016,TOYOTA,COROLLA FIELDER,HYBRID G WXB,NKE165-8028720,DAA-NKE165G,AT,BLACK,5,2WD,"PS,PW,AC,AW,ABS,AB,RS","BACK CAMERA, HALF LEATHER SEAT",HYBRID(PETROL),1490,cc,167000,KM,,
2147,2019,1,2018,TOYOTA,COROLLA FIELDER,1.5G,NZE164-7067602,DBA-NZE164G,AT,SILVER,5,4WD,"PS,PW,AC,ABS,AB,RS",,PETROL,1490,cc,223000,KM,,
2148,2011,10,2011,TOYOTA,CROWN HYBRID,G PKG,GWS204-0023229,DAA-GWS204,AT,BLACK,4,2WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB",,HYBRID(PETROL),3450,cc,241000,KM,,
2149,2012,1,2011,TOYOTA,CROWN HYBRID,G PKG,GWS204-0024523,DAA-GWS204,AT,PEARL,4,2WD,"PS,PW,AC,NV,AW,ABS,AB","BACK CAMERA, POWER SEAT",HYBRID(PETROL),3450,cc,164000,KM,,
2150,2012,3,2012,TOYOTA,CROWN HYBRID,Hybrid G Package,GWS204-0025489,DAA-GWS204,AT,SILVER,4,2WD,"PS,PW,AC,NV,SR,ABS,AB",,HYBRID(PETROL),3450,cc,140000,KM,,
2151,2013,2,2013,TOYOTA,CROWN HYBRID,ATHLETE S,AWS210-6000465,DAA-AWS210,AT,SILVER,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","STEERING HEATER,SEAT HEATER,CRUISE CONTROL,POWER SEAT,BACK CAMERA",HYBRID(PETROL),2490,cc,136000,KM,,
2152,2013,2,2013,TOYOTA,CROWN HYBRID,ROYAL SALOON G,AWS210-6007590,DAA-AWS210,AT,PEARL,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","PUSH START,HALF LEATHER SEAT",HYBRID(PETROL),2490,cc,190000,KM,,
2153,2013,2,2013,TOYOTA,CROWN HYBRID,ATHELETE S,AWS210-6003326,DAA-AWS210,AT,BLACK,4,2WD,"PS,PW,AC,ABS,AB","PUSH START, BACK CAMERA, CRUISE CONTROL, POWER SEAT , SEAT HEATER",HYBRID(PETROL),2490,cc,162000,KM,,
2154,2013,3,2013,TOYOTA,CROWN HYBRID,,AWS210-6013889,DAA-AWS210,AT,SILVER,4,2WD,"PS,PW,AC,NV,LS,AW,ABS,AB","BACK CAMERA,CRUISE CONTROL",HYBRID(PETROL),2490,cc,202000,KM,,
2155,2013,3,2013,TOYOTA,CROWN HYBRID,ATHLETE S,AWS210-6007487,DAA-AWS210,AT,PEARL,4,2WD,"PS,PW,AC,LS,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,128000,KM,,
2156,2013,4,2013,TOYOTA,CROWN HYBRID,ATHLETE S,AWS210-6019293,DAA-AWS210,AT,BLACK,4,2WD,"PS,PW,AC,ABS",,HYBRID(PETROL),2490,cc,152000,KM,,
2157,2013,4,2013,TOYOTA,CROWN HYBRID,ATHLETE S,AWS210-6019683,DAA-AWS210,AT,BLACK,4,2WD,"PS,PW,AC,NV,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,125000,KM,,
2158,2013,8,2013,TOYOTA,CROWN HYBRID,,AWS210-6033460,DAA-AWS210,AT,WINE,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,156000,KM,,
2159,2013,8,2013,TOYOTA,CROWN HYBRID,ATHLETE S,AWS210-6035881,DAA-AWS210,AT,PEARL,4,2WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,161000,KM,,
2160,2013,9,2013,TOYOTA,CROWN HYBRID,ATHLETE G,AWS210-6041084,DAA-AWS210,AT,BLACK,4,2WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,245000,KM,,
2161,2013,9,2013,TOYOTA,CROWN HYBRID,,AWS210-6043110,DAA-AWS210,AT,PEARL,4,2WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB",BACK CAMERA,HYBRID(PETROL),2490,cc,195000,KM,,
2162,2013,9,2013,TOYOTA,CROWN HYBRID,ATHLETE S,AWS210-6040216,DAA-AWS210,AT,PEARL,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",BACK CAMERA,HYBRID(PETROL),2490,cc,171000,KM,,
2163,2014,2,2013,TOYOTA,CROWN HYBRID,,AWS210-6049006,DAA-AWS210,AT,PEARL,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,230000,KM,,
2164,2014,3,2014,TOYOTA,CROWN HYBRID,,AWS210-6063110,DAA-AWS210,AT,SILVER,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","BACK CAMERA ,CRUISE CONTROL,SEAT HEATER,POWER SEAT",HYBRID(PETROL),2490,cc,130000,KM,,
2165,2014,3,2014,TOYOTA,CROWN HYBRID,ROYAL SALOON,AWS210-6060289,DAA-AWS210,AT,BLACK,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,422000,KM,,
2166,2014,3,2014,TOYOTA,CROWN HYBRID,,AWS210-6059205,DAA-AWS210,AT,WHITE,4,2WD,"PS,PW,AC,ABS,AB",,HYBRID(PETROL),2490,cc,205000,KM,,
2167,2014,7,2014,TOYOTA,CROWN HYBRID,HYBRID ROYAL SALOON G FOUR,AWS211-6000290,DAA-AWS211,AT,BLUE,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,196000,KM,,
2168,2014,7,2014,TOYOTA,CROWN HYBRID,,AWS211-6000277,DAA-AWS211,AT,BLACK,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,175000,KM,,
2169,2015,5,2015,TOYOTA,CROWN HYBRID,,AWS210-6087820,DAA-AWS210,AT,PEARL,4,2WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,417000,KM,,
2170,2015,6,2015,TOYOTA,CROWN HYBRID,ATHLETE G,AWS210-6091371,DAA-AWS210,AT,PEARL,4,2WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB","BACK CAMERA, PUSH START, POWER SEAT",HYBRID(PETROL),2490,cc,188000,KM,,
2171,2016,1,2015,TOYOTA,CROWN HYBRID,,AWS210-6103489,DAA-AWS210,AT,BLACK,4,2WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,702000,KM,,
2172,2016,3,2016,TOYOTA,CROWN HYBRID,,AWS210-6107923,DAA-AWS210,AT,BLACK,4,2WD,"PS,PW,AC,NV,AW,ABS,AB",,HYBRID(PETROL),2490,cc,129000,KM,,
2173,2016,5,2015,TOYOTA,CROWN HYBRID,ROYAL SALOON,AWS210-6103732,DAA-AWS210,AT,PEARL,4,2WD,"PS,PW,AC,NV,AW,ABS,AB",,HYBRID(PETROL),2490,cc,232000,KM,,
2174,2016,9,2016,TOYOTA,CROWN HYBRID,R SALOON G,AWS210-6115719,DAA-AWS210,AT,BLACK,4,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB","DRIVER SEAT HEATER,STEERING HEATER,POWER SEAT",HYBRID(PETROL),2490,cc,289000,KM,,
2175,2016,10,2016,TOYOTA,CROWN HYBRID,HYBRID ROYAL SALOON,AWS211-6009474,DAA-AWS211,AT,BLACK,4,4WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2490,cc,73000,KM,,
2176,2017,3,2017,TOYOTA,CROWN HYBRID,,AWS210-6125268,DAA-AWS210,AT,BLACK,4,2WD,"PS,PW,AC,NV,LS,AW,ABS,AB","PUSH START,BACK GUIDE MONITOR",HYBRID(PETROL),2490,cc,173000,KM,,
2177,2017,9,2017,TOYOTA,CROWN HYBRID,,AWS210-6129644,DAA-AWS210,AT,PEARL,4,2WD,"PS,PW,AC,NV,AW,ABS,AB",BACK GUIDE MONITOR,HYBRID(PETROL),2490,cc,165000,KM,,
2178,2019,9,2019,TOYOTA,CROWN HYBRID,Hybrid RS FOUR,AZSH21-1009462,6AA-AZSH21,AT,BLACK,4,4WD,"PS,PW,AC,ABS,AB",,HYBRID(PETROL),2480,cc,156000,KM,,
2179,2019,9,2019,TOYOTA,CROWN HYBRID,,AZSH21-1009546,6AA-AZSH21,AT,GRAY,4,4WD,"PS,PW,AC,NV,ABS,AB",,HYBRID(PETROL),2480,cc,80000,KM,,
2180,2021,6,2021,TOYOTA,CROWN HYBRID,RS ADVANCE,AZSH20-1076730,6AA-AZSH20,AT,BLACK,4,2WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB",,HYBRID(PETROL),2480,cc,92000,KM,,
2181,2004,2,2003,TOYOTA,DYNA,,TRY2300005402,TC-TRY230,MT,RED,4,2WD,"PS,PW",,PETROL,1990,cc,12000,KM,,
2182,2014,11,2014,TOYOTA,ESQUIRE,HYBRID XI,ZWR80-0071498,DAA-ZWR80G,AT,BLACK,5,2WD,"PS,PW,AC,AW,FOG,ABS,AB","POWER SLIDE DOOR, PUSH START, SEAT HEATER",HYBRID(PETROL),1790,cc,181000,KM,,
2183,2008,9,2008,TOYOTA,ESTIMA HYBRID,,AHR20-7026237,DAA-AHR20W,AT,PEARL,5,4WD,"PS,PW,NV,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),2360,cc,149000,KM,,
2184,2009,9,2009,TOYOTA,ESTIMA HYBRID,G,AHR20-7038562,DAA-AHR20W,AT,PEARL,5,4WD,"PS,PW,AC,AW,FOG,ABS,AB",,HYBRID(PETROL),2360,cc,263000,KM,,
2185,2009,10,2009,TOYOTA,ESTIMA HYBRID,G,AHR20-7040986,DAA-AHR20W,AT,BLACK,5,4WD,"PS,PW,AC,ABS,AB",,HYBRID(PETROL),2360,cc,210000,KM,,
2186,2015,6,2015,TOYOTA,HARRIER,ELEGANCE,ZSU65-0013756,DBA-ZSU65W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS",BACK CAMERA,PETROL,1980,cc,99000,KM,,
2187,2015,9,2015,TOYOTA,HARRIER,PREMIUM STYLE MOVE,ZSU65-0015230,DBA-ZSU65W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,SR,ABS,AB,RS","POWER BACK DOOR,BACK CAMERA,HALF LEATHER SEAT",PETROL,1980,cc,142000,KM,,
2188,2015,11,2015,TOYOTA,HARRIER,ELEGANCE,ZSU60-0071169,DBA-ZSU60W,AT,BLACK,5,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BACK CAMERA,HALF LEATHER SEAT,POWER SEAT",PETROL,1980,cc,188000,KM,,
2189,2015,12,2015,TOYOTA,HARRIER,PREMIUM,ZSU60-0073864,DBA-ZSU60W,AT,BLACK,5,2WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","BACK CAMERA, PUSH START, CRUISE CONTROL, POWER BACK DOOR",PETROL,1980,cc,113000,KM,,
2190,2016,7,2016,TOYOTA,HARRIER,PREMIUM,ZSU65-0020165,DBA-ZSU65W,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,FOG,SR,ABS,AB,RS","HALF LEATHER SEAT,POWER BACK DOOR,CRUISE CONTROL,BACK CAMERA",PETROL,1980,cc,94000,KM,,
2191,2006,3,2006,TOYOTA,HARRIER HYBRID,,MHU38-0047425,DAA-MHU38W,AT,BLACK,5,4WD,"PS,PW,AC,AW,FOG,ABS,AB,RS",,HYBRID(PETROL),3310,cc,98000,KM,,
2192,2007,3,2007,TOYOTA,HARRIER HYBRID,PREMIUM S PKG,MHU38-2025658,DAA-MHU38W,AT,SILVER,5,4WD,"PS,PW,AC,LS,AW,ABS,AB,RS",,HYBRID(PETROL),3310,cc,65000,KM,,
2193,2007,9,2007,TOYOTA,HARRIER HYBRID,L PKG,MHU38-2043932,DAA-MHU38W,AT,BLACK,5,4WD,"PS,PW,AC,FOG,ABS,AB,RS",,HYBRID(PETROL),3310,cc,114000,KM,,
2194,2007,11,2007,TOYOTA,HARRIER HYBRID,,MHU38-2046289,DAA-MHU38W,AT,PEARL,5,4WD,"PS,PW,AC,NV,LS,AW,FOG,ABS,AB","PUSH START,BACK CAMERA",HYBRID(PETROL),3310,cc,199000,KM,,
2195,2008,7,2008,TOYOTA,HARRIER HYBRID,,MHU38-2865821,DAA-MHU38W,AT,BROWN,5,4WD,"PS,PW,AC,NV,AW,SR,ABS,AB,RS","BACK CAMERA,CRUISE CONTROL,PUSH START",HYBRID(PETROL),3310,cc,162000,KM,,
2196,2008,9,2008,TOYOTA,HARRIER HYBRID,PREMIUM S PKG,MHU38-2061662,DAA-MHU38W,AT,PEARL,5,4WD,"PS,PW,AC,NV,LS,FOG,ABS,AB,RS","BACK CAMERA,CRUISE CONTROL,PUSH START",HYBRID(PETROL),3310,cc,274000,KM,,
2197,2014,3,2014,TOYOTA,HARRIER HYBRID,PREMIUM,AVU65-0006127,DAA-AVU65W,AT,PEARL,5,4WD,"PS,PW,AC,NV,AW,FOG,ABS,AB,RS","CRUISE CONTROL, BACK CAMERA , HALF LEATHER SEAT, PUSH START",HYBRID(PETROL),2490,cc,122000,KM,,
2198,2014,3,2014,TOYOTA,HARRIER HYBRID,ELEGANCE,AVU65-0006113,DAA-AVU65W,AT,BLACK,5,4WD,"PS,PW,AC,NV,AW,ABS,AB,RS","BACK CAMERA, HALF LEATHER SEAT , PUSH START",HYBRID(PETROL),2490,cc,157000,KM,,
